program_label,borocode,county,census_tract,code,total_units,number_reported,est_total_occupied,diff_occupied_reported,people_total,id_100,in_floddplain_100,in_floodplain_100,id_500,in_floddplain_500,in_floodplain_500
Housing Choice Vouchers,1.0,New York County,201.0,36061000201,34.0,26.0,32.3,6.299999999999997,34.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,202.0,36061000202,127.0,92.0,124.46,32.459999999999994,103.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,600.0,36061000600,307.0,234.0,276.3,42.30000000000001,492.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,800.0,36061000800,119.0,96.0,107.10000000000001,11.100000000000009,126.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,1402.0,36061001402,76.0,56.0,72.2,16.200000000000003,84.0,,0,0,,0,0
Housing Choice Vouchers,1.0,New York County,1800.0,36061001800,18.0,13.0,17.099999999999998,4.099999999999998,21.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,2201.0,36061002201,227.0,164.0,222.46,58.46000000000001,214.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,2202.0,36061002202,14.0,11.0,12.74,1.7400000000000002,14.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,2601.0,36061002601,63.0,48.0,56.7,8.700000000000003,74.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,2602.0,36061002602,106.0,79.0,99.64,20.64,125.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,2800.0,36061002800,96.0,72.0,89.28,17.28,105.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,3001.0,36061003001,43.0,32.0,40.419999999999995,8.419999999999995,54.0,,0,0,,0,0
Housing Choice Vouchers,1.0,New York County,3002.0,36061003002,17.0,13.0,15.47,2.4700000000000006,17.0,,0,0,,0,0
Housing Choice Vouchers,1.0,New York County,3200.0,36061003200,30.0,22.0,28.799999999999997,6.799999999999997,35.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,3400.0,36061003400,91.0,69.0,81.9,12.900000000000006,111.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,3601.0,36061003601,19.0,14.0,18.24,4.239999999999998,15.0,,0,0,,0,0
Housing Choice Vouchers,1.0,New York County,3800.0,36061003800,27.0,20.0,25.110000000000003,5.110000000000003,25.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,3900.0,36061003900,261.0,187.0,258.39,71.38999999999999,245.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,4000.0,36061004000,23.0,18.0,19.78,1.7800000000000011,18.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,4200.0,36061004200,28.0,21.0,25.2,4.199999999999999,41.0,,0,0,0.0,1,1
Housing Choice Vouchers,1.0,New York County,5600.0,36061005600,146.0,106.0,141.62,35.620000000000005,106.0,,0,0,0.0,1,1
Housing Choice Vouchers,1.0,New York County,5800.0,36061005800,27.0,21.0,23.76,2.7600000000000016,38.0,,0,0,,0,0
Housing Choice Vouchers,1.0,New York County,6200.0,36061006200,71.0,51.0,70.29,19.290000000000006,81.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,6400.0,36061006400,16.0,12.0,14.4,2.4000000000000004,26.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,6600.0,36061006600,538.0,405.0,494.96000000000004,89.96000000000004,675.0,,0,0,0.0,1,1
Housing Choice Vouchers,1.0,New York County,6800.0,36061006800,306.0,224.0,293.76,69.75999999999999,224.0,,0,0,,0,0
Housing Choice Vouchers,1.0,New York County,7000.0,36061007000,54.0,39.0,52.92,13.920000000000002,53.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,7200.0,36061007200,14.0,11.0,12.46,1.4600000000000009,11.0,,0,0,,0,0
Housing Choice Vouchers,1.0,New York County,7800.0,36061007800,15.0,12.0,13.05,1.0500000000000007,15.0,7848.0,1,1,0.0,1,1
